Plot BID,date,count,AWF,AWF_MIN,AWF_MAX,AWF_SD,AWF_CNT,FRAREA,FRAREA_MIN,FRAREA_MAX,FRAREA_SD,FRAREA_CNT,FRPER,FRPER_MIN,FRPER_MAX,FRPER_SD,FRPER_CNT,FRWMH,FRWMH_MIN,FRWMH_MAX,FRWMH_SD,FRWMH_CNT,FRMAXW,FRMAXW_MIN,FRMAXW_MAX,FRMAXW_SD,FRMAXW_CNT,FWSD,FWSD_MIN,FWSD_MAX,FWSD_SD,FWSD_CNT,FRMHMW,FRMHMW_MIN,FRMHMW_MAX,FRMHMW_SD,FRMHMW_CNT,FRMH,FRMH_MIN,FRMH_MAX,FRMH_SD,FRMH_CNT,FHSD,FHSD_MIN,FHSD_MAX,FHSD_SD,FHSD_CNT,FRSPH,FRSPH_MIN,FRSPH_MAX,FRSPH_SD,FRSPH_CNT,FRSIEMAX,FRSIEMAX_MIN,FRSIEMAX_MAX,FRSIEMAX_SD,FRSIEMAX_CNT,FRSIEMID,FRSIEMID_MIN,FRSIEMID_MAX,FRSIEMID_SD,FRSIEMID_CNT,FRCSI,FRCSI_MIN,FRCSI_MAX,FRCSI_SD,FRCSI_CNT,FRPB,FRPB_MIN,FRPB_MAX,FRPB_SD,FRPB_CNT,FRDB,FRDB_MIN,FRDB_MAX,FRDB_SD,FRDB_CNT,FRSTRI,FRSTRI_MIN,FRSTRI_MAX,FRSTRI_SD,FRSTRI_CNT,FRELIP,FRELIP_MIN,FRELIP_MAX,FRELIP_SD,FRELIP_CNT,FRRECT,FRRECT_MIN,FRRECT_MAX,FRRECT_SD,FRRECT_CNT,FWID01,FWID01_MIN,FWID01_MAX,FWID01_SD,FWID01_CNT,FWID02,FWID02_MIN,FWID02_MAX,FWID02_SD,FWID02_CNT,FWID03,FWID03_MIN,FWID03_MAX,FWID03_SD,FWID03_CNT,FWID04,FWID04_MIN,FWID04_MAX,FWID04_SD,FWID04_CNT,FWID05,FWID05_MIN,FWID05_MAX,FWID05_SD,FWID05_CNT,FWID06,FWID06_MIN,FWID06_MAX,FWID06_SD,FWID06_CNT,FWID07,FWID07_MIN,FWID07_MAX,FWID07_SD,FWID07_CNT,FWID08,FWID08_MIN,FWID08_MAX,FWID08_SD,FWID08_CNT,FWID09,FWID09_MIN,FWID09_MAX,FWID09_SD,FWID09_CNT,FHT01,FHT01_MIN,FHT01_MAX,FHT01_SD,FHT01_CNT,FHT02,FHT02_MIN,FHT02_MAX,FHT02_SD,FHT02_CNT,FHT03,FHT03_MIN,FHT03_MAX,FHT03_SD,FHT03_CNT,FHT04,FHT04_MIN,FHT04_MAX,FHT04_SD,FHT04_CNT,FHT05,FHT05_MIN,FHT05_MAX,FHT05_SD,FHT05_CNT,FHT06,FHT06_MIN,FHT06_MAX,FHT06_SD,FHT06_CNT,FHT07,FHT07_MIN,FHT07_MAX,FHT07_SD,FHT07_CNT,FHT08,FHT08_MIN,FHT08_MAX,FHT08_SD,FHT08_CNT,FHT09,FHT09_MIN,FHT09_MAX,FHT09_SD,FHT09_CNT,FEXTL,FEXTL_MIN,FEXTL_MAX,FEXTL_SD,FEXTL_CNT,FEXTA,FEXTA_MIN,FEXTA_MAX,FEXTA_SD,FEXTA_CNT,FEXTB,FEXTB_MIN,FEXTB_MAX,FEXTB_SD,FEXTB_CNT,SFEXTL_SD_AVG,SFEXTL_SD_SD,SFEXTA_SD_AVG,SFEXTA_SD_SD,SFEXTB_SD_AVG,SFEXTB_SD_SD,FEXTHUE,FEXTHUE_MIN,FEXTHUE_MAX,FEXTHUE_SD,FEXTHUE_CNT,SFEXTHUE_SD_AVG,SFEXTHUE_SD_SD,FEXTCHR,FEXTCHR_MIN,FEXTCHR_MAX,FEXTCHR_SD,FEXTCHR_CNT,SFEXTCHR_SD_AVG,SFEXTCHR_SD_SD,GRWT
SHIFTP00000000879561943158688,230321,1,0.1875,0.1532,0.2541,0.0459,4,82.0869,67.0497,111.2646,20.11,4,39.1125,34.0438,45.2484,5.6485,4,9.79,9.1471,10.8724,0.7505,4,9.9121,9.2448,10.9049,0.7045,4,1.2413,1.0631,1.5074,0.1886,4,9.105,8.0717,11.2287,1.4818,4,10.0408,8.4297,12.2052,1.6115,4,1.1297,1.0057,1.2648,0.1432,4,11.4127,10.1472,13.2394,1.3139,4,1.01,0.8603,1.1192,0.1095,4,0.9272,0.8411,1.0328,0.0967,4,1.1641,1.0675,1.2177,0.0666,4,0.9134,0.8353,1.0171,0.0777,4,0.8216,0.7534,0.9042,0.0622,4,1.1213,0.9238,1.35,0.1759,4,0.8898,0.8772,0.9187,0.0195,4,0.7787,0.7349,0.8289,0.0395,4,6.2744,4.9153,8.3659,1.4713,4,8.0729,7.1614,9.8307,1.2087,4,8.9518,8.1054,10.5143,1.0933,4,9.4889,8.8541,10.677,0.8524,4,9.79,9.1471,10.8724,0.7505,4,9.7249,9.2122,10.4817,0.5475,4,9.4401,8.8541,9.9283,0.4965,4,8.9192,8.0403,9.6679,0.6734,4,7.3649,6.0547,8.5937,1.0519,4,7.0139,5.5005,8.4948,1.2704,4,8.7714,6.8674,11.066,1.7605,4,9.52,7.3882,11.8146,1.8289,4,9.7316,7.8438,11.7169,1.6224,4,9.105,8.0717,11.2287,1.4818,4,9.7478,8.3646,11.9448,1.541,4,9.6339,8.1693,12.1726,1.7541,4,8.7714,7.4533,11.1962,1.6946,4,6.7372,5.533,8.8528,1.5573,4,0.2935,0.2751,0.3036,0.0133,4,0.4352,0.4272,0.4422,0.0063,4,0.5769,0.564,0.5944,0.0129,4,0.0636,0.0103,0.0144,0.0019,0.0248,0.0054,0.2764,0.2666,0.2834,0.0072,4,0.0444,0.0033,0.5114,0.507,0.5181,0.0048,4,0.0085,0.002,0.75
SHIFTP00000000879561943158689,230321,1,0.218,0.1681,0.2802,0.0395,10,93.1471,71.8231,119.743,16.8772,10,40.0135,35.258,45.0457,3.5588,10,9.7233,7.5521,11.4583,1.4128,10,10.0553,8.3333,11.5234,1.1673,10,1.2462,0.6904,1.7423,0.3646,10,10.4964,8.5599,13.149,1.423,10,11.2157,9.2108,13.2141,1.3236,10,1.2398,0.9034,1.7124,0.3335,10,12.957,10.2138,15.5778,1.6575,10,1.1234,0.8396,1.386,0.1396,10,1.0917,0.7803,1.2706,0.1509,10,1.3478,0.9311,1.5273,0.1775,10,0.9354,0.793,1.1207,0.0982,10,0.8467,0.8,0.9146,0.034,10,1.1072,0.9315,1.3472,0.1328,10,0.8996,0.8462,0.957,0.0358,10,0.7918,0.7244,0.8605,0.0356,10,6.5006,5.2083,7.6172,0.9625,10,8.2324,6.2825,9.6028,1.2243,10,9.0787,6.6406,10.8398,1.4516,10,9.4433,7.0312,11.2955,1.5204,10,9.7233,7.5521,11.4583,1.4128,10,9.8339,7.9752,11.3932,1.2264,10,9.6484,8.2356,10.97,0.9654,10,8.9876,7.9427,10.2539,0.7202,10,7.1679,5.2083,8.7239,1.0639,10,7.59,5.5005,9.8292,1.343,10,9.7869,8.0717,11.9122,1.1388,10,10.6592,9.0806,12.5632,1.0836,10,10.7894,8.9504,12.9212,1.3667,10,10.4964,8.5599,13.149,1.423,10,10.7698,8.7552,12.6608,1.2406,10,10.7894,9.0806,13.0188,1.104,10,9.9627,8.8854,12.4981,1.0033,10,7.9871,7.0302,11.1311,1.2387,10,0.3403,0.3067,0.3721,0.0214,10,0.422,0.4134,0.436,0.0064,10,0.6028,0.5865,0.6213,0.0114,10,0.0721,0.011,0.0154,0.0014,0.0293,0.0028,0.2609,0.25,0.2734,0.0067,10,0.0377,0.0081,0.5208,0.5138,0.5281,0.0043,10,0.0108,0.0013,2.18
SHIFTP00000000879561943158690,230321,1,0.1833,0.1346,0.2663,0.0341,12,80.3083,58.9686,116.6658,14.9416,12,37.4496,32.6314,47.4581,3.766,12,9.6083,7.845,12.9882,1.2993,12,9.7954,8.3333,13.0859,1.2546,12,1.0059,0.6371,1.8406,0.3117,12,8.8609,7.0627,11.3589,1.1535,12,9.7153,8.267,11.7495,1.0243,12,0.8683,0.5642,1.189,0.1954,12,11.0627,9.0448,14.3345,1.4305,12,1.0002,0.8477,1.3031,0.1224,12,0.9342,0.6891,1.2689,0.1547,12,1.1646,0.8906,1.6013,0.1846,12,0.9296,0.8383,1.0415,0.0575,12,0.882,0.7854,0.9439,0.0489,12,1.0581,0.8881,1.2049,0.1005,12,0.896,0.8681,0.9221,0.0204,12,0.814,0.7577,0.8553,0.027,12,6.8495,5.1107,8.3008,0.903,12,8.4744,6.6732,11.1328,1.209,12,9.1742,7.3893,12.2395,1.3066,12,9.4808,7.6497,12.9231,1.3694,12,9.6083,7.845,12.9882,1.2993,12,9.6001,8.1054,12.5651,1.1503,12,9.4048,8.3008,12.0768,1.0491,12,8.8948,7.6823,11.2955,0.9838,12,7.5466,6.2174,9.1797,0.9856,12,7.1197,5.8585,8.3321,0.7508,12,8.6385,7.6811,10.0245,0.7021,12,9.1837,8.0391,11.2287,0.797,12,9.1105,7.1604,11.4566,0.9802,12,8.8609,7.0627,11.3589,1.1535,12,9.4468,7.8113,11.6844,1.1947,12,9.4251,8.0391,11.424,1.0237,12,8.9721,7.7462,10.6754,0.9515,12,7.5021,6.0538,9.3085,0.9062,12,0.3239,0.2996,0.3752,0.019,12,0.4301,0.4157,0.438,0.0069,12,0.5863,0.5726,0.6218,0.0148,12,0.0707,0.0102,0.014,0.0013,0.025,0.004,0.2695,0.2494,0.2785,0.0082,12,0.0388,0.0045,0.5146,0.5094,0.5294,0.0058,12,0.0086,0.0019,2.2
SHIFTP00000000879561943158691,230321,1,0.23,0.2139,0.246,0.0139,4,89.4441,83.1849,95.6856,5.3967,4,39.1734,36.5694,42.0651,2.2663,4,10.6608,10.4166,10.8398,0.1773,4,10.9293,10.7747,11.1653,0.171,4,1.7529,1.5501,1.9806,0.1978,4,9.4875,8.4297,10.1547,0.7903,4,10.4395,10.1221,10.7731,0.3171,4,1.3307,0.9783,1.7929,0.3406,4,11.928,10.5481,12.9331,0.9976,4,0.9552,0.9255,0.9818,0.024,4,0.8904,0.7777,0.9511,0.0786,4,1.1197,0.9731,1.2113,0.1029,4,0.9287,0.7896,1.025,0.0996,4,0.7612,0.6625,0.8723,0.086,4,1.2356,1.0486,1.5472,0.2298,4,0.8958,0.8565,0.9404,0.0377,4,0.7648,0.7322,0.8167,0.0364,4,5.6071,4.7526,6.0872,0.5957,4,8.1217,6.901,9.3424,0.9989,4,9.2936,8.3333,10.0586,0.7482,4,10.1644,9.733,10.4492,0.3376,4,10.6608,10.4166,10.8398,0.1773,4,10.8235,10.677,11.0026,0.1342,4,10.6445,9.9935,11.0351,0.4634,4,9.8958,8.431,10.677,1.0089,4,7.9101,5.2409,9.5377,1.8561,4,6.7372,5.8585,7.6811,0.8713,4,8.5111,7.4207,9.5688,0.9867,4,9.6909,8.5599,10.5127,0.9675,4,9.9513,9.1132,10.4476,0.6172,4,9.4875,8.4297,10.1547,0.7903,4,9.8536,9.5688,10.1547,0.2805,4,9.398,9.1783,9.9594,0.3752,4,8.5517,7.5509,9.1457,0.7103,4,6.5745,4.524,7.9089,1.4621,4,0.3126,0.2769,0.3585,0.0366,4,0.4318,0.4234,0.4366,0.0061,4,0.584,0.5717,0.6011,0.0128,4,0.0731,0.0131,0.0149,0.0013,0.0263,0.0044,0.2709,0.2616,0.28,0.0077,4,0.0421,0.0042,0.514,0.5089,0.5204,0.0049,4,0.0094,0.0023,0.92
SHIFTP00000000879561943158692,230321,1,0.201,0.1573,0.2485,0.0306,10,82.2758,64.392,101.7039,12.5111,10,39.1033,33.0108,43.9541,3.8697,10,9.5475,8.3333,10.9049,0.8774,10,9.7233,8.3984,11.0351,0.8977,10,1.166,0.6834,1.7499,0.322,10,9.4972,7.4533,11.0335,1.0274,10,10.3174,8.9179,11.1311,0.6406,10,1.0944,0.6819,1.3473,0.2267,10,11.9541,9.6274,14.2653,1.3374,10,1.065,0.9935,1.1934,0.0642,10,0.9961,0.8745,1.1473,0.0835,10,1.2522,1.1053,1.3697,0.0823,10,0.9158,0.7902,0.987,0.0641,10,0.8479,0.7301,0.9392,0.0582,10,1.0867,0.9061,1.2891,0.1279,10,0.8941,0.8468,0.9429,0.0304,10,0.8,0.7523,0.8465,0.0309,10,6.4583,5.0781,8.431,1.0642,10,8.1022,6.8359,10.0586,1.0086,10,8.8248,7.4218,10.7747,1.0683,10,9.3001,7.9427,11.0026,0.9901,10,9.5475,8.3333,10.9049,0.8774,10,9.5377,8.2031,10.9375,0.8086,10,9.3457,7.9427,10.7421,0.8201,10,8.7304,7.5195,10.1237,0.8822,10,7.0345,4.5898,9.1471,1.3759,10,7.2547,6.3141,8.4948,0.7744,10,9.1913,8.267,10.0896,0.6711,10,9.826,8.3321,10.6754,0.8323,10,9.8845,8.0391,10.7405,0.9061,10,9.4972,7.4533,11.0335,1.0274,10,9.6697,8.0391,10.8056,0.8989,10,9.6177,8.2995,10.5127,0.7815,10,9.0058,7.7462,9.8292,0.7953,10,7.3263,5.8585,8.6901,0.8503,10,0.3088,0.2637,0.3511,0.025,10,0.43,0.416,0.4403,0.0069,10,0.5853,0.5657,0.6166,0.0154,10,0.0691,0.0104,0.0143,0.0016,0.0251,0.0048,0.2716,0.2545,0.2852,0.0098,10,0.0374,0.0045,0.514,0.5072,0.5265,0.0061,10,0.0087,0.0023,2.01
SHIFTP00000000879561943158693,230321,1,0.165,0.1484,0.1821,0.0139,4,77.0265,69.2767,84.9987,6.4763,4,37.3913,35.477,39.7565,2.0936,4,8.9111,8.2356,9.7981,0.6721,4,9.2041,8.9192,9.8958,0.4645,4,1.2595,0.987,1.8077,0.3743,4,9.1295,8.267,10.2198,0.8896,4,10.4232,9.6339,11.0335,0.6386,4,1.1451,0.6571,1.4277,0.3371,4,11.4306,10.5802,12.4212,0.8524,4,1.1336,1.0646,1.2325,0.0733,4,1.0246,0.9493,1.1021,0.0644,4,1.285,1.1734,1.3781,0.087,4,0.9655,0.9236,1.0079,0.0379,4,0.8179,0.7576,0.87,0.0472,4,1.1847,1.0871,1.3,0.1037,4,0.8798,0.8332,0.9105,0.0357,4,0.7764,0.746,0.8226,0.0352,4,5.2327,4.6549,5.8268,0.4831,4,7.2998,6.5104,8.1705,0.8309,4,8.1543,7.2265,9.3424,1.0613,4,8.5612,7.6497,9.6679,0.934,4,8.9111,8.2356,9.7981,0.6721,4,9.1552,8.7565,9.8958,0.506,4,9.0088,8.789,9.6028,0.3963,4,8.5856,8.3008,9.0494,0.3238,4,6.9498,5.7942,7.6497,0.8029,4,7.1359,6.3792,8.0066,0.6896,4,8.7714,8.0066,9.4712,0.6403,4,9.3247,8.4297,10.5778,0.9257,4,9.4793,7.9415,11.0335,1.2648,4,9.1295,8.267,10.2198,0.8896,4,9.8211,8.625,10.8056,0.9049,4,10.057,9.4387,10.6429,0.4922,4,9.2515,8.8203,9.4712,0.2928,4,7.1115,6.3792,7.4858,0.4996,4,0.3083,0.2862,0.3325,0.0194,4,0.4322,0.4232,0.4387,0.0074,4,0.5805,0.5686,0.5954,0.0125,4,0.0648,0.0024,0.0139,0.001,0.0234,0.0024,0.2745,0.2664,0.2812,0.0069,4,0.0397,0.0062,0.5121,0.5081,0.5169,0.004,4,0.0076,0.0011,0.66
SHIFTP00000000879561943158694,230321,1,0.1767,0.1681,0.1877,0.01,3,81.0985,77.1756,86.1573,4.5973,3,38.5492,37.5445,39.8911,1.2091,3,9.6896,8.8867,10.3515,0.7425,3,10.0152,9.4726,10.4492,0.4972,3,1.2319,0.9244,1.5368,0.3062,3,9.2434,8.4622,10.2198,0.8949,3,10.0136,9.1457,10.6754,0.7854,3,1.13,0.7839,1.4213,0.3222,3,11.5229,11.1449,12.1483,0.5455,3,1.0028,0.9034,1.127,0.1138,3,0.9533,0.9204,0.9873,0.0335,3,1.192,1.1337,1.2688,0.0694,3,0.968,0.8962,1.011,0.0625,3,0.8077,0.7582,0.8411,0.0437,3,1.2021,1.0878,1.3333,0.1237,3,0.8839,0.829,0.9322,0.0519,3,0.7872,0.7518,0.8398,0.0465,3,6.1415,5.5013,7.1289,0.8676,3,7.845,6.7383,8.5286,0.9673,3,8.8758,7.6172,9.8958,1.1579,3,9.4401,8.2682,10.3841,1.0762,3,9.6896,8.8867,10.3515,0.7425,3,9.8307,9.3424,10.1888,0.4379,3,9.8307,9.4401,10.1237,0.3521,3,9.3533,8.9843,9.7981,0.4122,3,7.8776,7.0312,8.8541,0.9184,3,7.0302,6.6071,7.4858,0.4403,3,9.0047,8.4622,9.992,0.8564,3,9.5471,8.6901,10.6103,0.9766,3,8.8854,8.2995,9.7641,0.775,3,9.2434,8.4622,10.2198,0.8949,3,9.6231,9.0806,10.2198,0.5715,3,9.2759,8.9504,9.7967,0.4557,3,8.4297,8.0717,8.7877,0.358,3,6.6613,5.891,7.5509,0.8364,3,0.335,0.3275,0.3442,0.0085,3,0.4221,0.4188,0.4259,0.0035,3,0.6008,0.5894,0.6093,0.0103,3,0.0682,0.0036,0.0146,0.0008,0.0279,0.0035,0.2637,0.2585,0.2718,0.0071,3,0.0392,0.0016,0.5196,0.5145,0.5232,0.0046,3,0.0102,0.0019,0.53
SHIFTP00000000879561943158696,230321,1,0.2643,0.224,0.3229,0.0333,7,90.6366,76.8286,110.7216,11.4335,7,40.972,36.023,55.1026,6.9114,7,10.8445,9.375,12.4674,1.1736,7,10.9654,9.9935,12.4674,1.0604,7,1.8474,1.0676,2.8867,0.5782,7,10.2477,9.5363,11.2287,0.5923,7,10.5267,9.8292,11.6844,0.7224,7,1.4747,0.9316,2.0033,0.4201,7,13.5182,11.731,16.6854,1.8629,7,0.9656,0.7884,1.0617,0.0882,7,0.9534,0.7832,1.1283,0.1054,7,1.2475,1.1051,1.3923,0.1123,7,0.8412,0.6031,0.9931,0.1413,7,0.7288,0.5666,0.8366,0.0933,7,1.1598,0.9932,1.5294,0.1904,7,0.8932,0.798,0.9416,0.0477,7,0.7428,0.6237,0.8152,0.0717,7,5.5059,4.1341,7.4218,1.5058,7,7.8962,6.0872,9.6679,1.2983,7,9.4959,8.2682,10.8398,1.0358,7,10.4957,9.375,11.8815,1.1085,7,10.8445,9.375,12.4674,1.1736,7,10.6445,9.5703,11.8164,0.9778,7,10.0725,8.7565,11.3281,0.9289,7,9.0308,7.3242,10.5794,1.2132,7,7.101,4.72,9.4401,1.8124,7,6.7558,5.4028,8.4948,1.1838,7,8.6436,7.258,10.2523,0.99,7,9.4898,8.5273,11.1636,0.908,7,9.6618,6.9651,11.1962,1.3221,7,10.2477,9.5363,11.2287,0.5923,7,10.2198,9.341,11.6193,0.8023,7,9.8292,9.0481,11.4891,0.9596,7,8.4948,7.2905,10.4476,1.1762,7,6.4629,4.4915,7.7462,1.1655,7,0.2914,0.2692,0.3206,0.0187,7,0.4388,0.4276,0.4662,0.013,7,0.577,0.5587,0.5927,0.0125,7,0.0642,0.0058,0.0155,0.0017,0.0247,0.0049,0.2654,0.2269,0.2809,0.0179,7,0.0443,0.0085,0.513,0.5075,0.518,0.0036,7,0.009,0.0022,1.85
SHIFTP00000000879561943158697,230321,1,0.175,0.1745,0.1755,0.0007,2,61.3995,61.2215,61.5775,0.2517,2,32.5424,31.8246,33.2602,1.0151,2,8.8704,8.8216,8.9192,0.0691,2,9.0006,8.8867,9.1146,0.1611,2,1.2426,0.8819,1.6033,0.5101,2,8.0554,7.5184,8.5924,0.7595,2,8.5762,8.4948,8.6575,0.1151,2,1.0651,0.8382,1.292,0.3209,2,9.9847,9.2482,10.7212,1.0416,2,0.9529,0.9499,0.9559,0.0043,2,0.9078,0.8523,0.9634,0.0786,2,1.1252,1.0484,1.202,0.1087,2,0.91,0.9004,0.9197,0.0137,2,0.7547,0.6569,0.8524,0.1382,2,1.2281,1.0563,1.4,0.243,2,0.9071,0.9036,0.9105,0.0049,2,0.7813,0.7532,0.8094,0.0397,2,5.1269,3.9062,6.3476,1.7263,2,6.6894,5.8594,7.5195,1.1739,2,7.6334,7.194,8.0729,0.6215,2,8.431,8.3008,8.5612,0.1841,2,8.8704,8.8216,8.9192,0.0691,2,8.903,8.7565,9.0494,0.2072,2,8.5937,8.431,8.7565,0.2302,2,8.0729,7.9427,8.2031,0.1841,2,6.6894,6.4453,6.9336,0.3453,2,5.5493,4.6868,6.4118,1.2198,2,7.0302,6.1188,7.9415,1.2888,2,7.8927,7.3556,8.4297,0.7595,2,8.2019,8.1042,8.2995,0.1381,2,8.0554,7.5184,8.5924,0.7595,2,8.1205,7.6811,8.5599,0.6214,2,8.0229,7.7462,8.2995,0.3912,2,7.3068,7.1278,7.4858,0.2532,2,5.8097,5.6957,5.9236,0.1611,2,0.3215,0.3166,0.3264,0.007,2,0.427,0.4246,0.4293,0.0033,2,0.5917,0.5866,0.5967,0.0071,2,0.0707,0.0055,0.0167,0.0015,0.0299,0.0037,0.2685,0.2657,0.2712,0.0039,2,0.0421,0.0015,0.5164,0.5144,0.5184,0.0028,2,0.0106,0.0016,0.35
SHIFTP00000000879561943158713,230321,1,0.1983,0.1566,0.3248,0.0467,12,82.7076,65.3085,135.429,19.4591,12,37.9577,32.2223,48.9113,4.7006,12,9.4401,8.2031,12.4349,1.1405,12,9.5567,8.3008,12.6953,1.1674,12,1.2066,0.6426,2.6236,0.521,12,9.6095,7.258,13.8651,1.916,12,10.5236,8.0391,14.0278,1.5563,12,1.2552,0.7017,2.6709,0.5451,12,11.9975,8.7213,18.3781,2.4923,12,1.1051,0.8044,1.3305,0.1322,12,1.0181,0.745,1.2974,0.1584,12,1.2698,0.8756,1.5443,0.1874,12,0.9029,0.8168,0.9524,0.0344,12,0.8326,0.7387,0.9407,0.0626,12,1.0882,0.979,1.1934,0.064,12,0.9128,0.8702,0.9509,0.0294,12,0.7882,0.6957,0.8467,0.0422,12,5.9434,4.9805,7.1614,0.686,12,7.826,6.7057,9.4401,0.7806,12,8.6887,7.4544,10.677,0.866,12,9.1851,7.9752,11.6536,1.0027,12,9.4401,8.2031,12.4349,1.1405,12,9.4482,8.1054,12.6302,1.1812,12,9.1661,7.9427,11.9791,1.0499,12,8.4934,7.5846,10.1562,0.7348,12,6.7274,5.4687,8.0403,0.7627,12,7.2173,5.6306,9.0155,1.107,12,9.0752,7.2905,11.066,1.1292,12,9.9838,7.8438,13.1165,1.4941,12,10.1465,7.5835,13.9301,1.741,12,9.6095,7.258,13.8651,1.916,12,10.1303,7.8113,13.2141,1.4182,12,9.8563,8.0391,11.6193,0.9976,12,8.9667,7.616,11.0009,0.8738,12,7.0573,5.5655,9.2434,0.984,12,0.3173,0.2753,0.3451,0.0192,12,0.4321,0.4181,0.4557,0.0125,12,0.5954,0.5685,0.6111,0.0116,12,0.0718,0.012,0.0165,0.0025,0.029,0.005,0.2535,0.2049,0.2738,0.0222,12,0.0434,0.0074,0.5207,0.512,0.5362,0.0075,12,0.0109,0.0033,2.38
